actor,predicted_class,levels,total_time,mean_time,total_stars,mean_stars
9C5AC6A8,CM2,30,5999.221,127.64299999999999,65,2.1666666666666665
9C5AC6AE,CM2,34,7544.994000000001,114.3180909090909,76,2.1714285714285713
9F62BA80,3ème,37,3345.3810000000003,76.03138636363636,94,2.5405405405405403
A208D402,3ème,18,3570.4309999999996,91.54951282051282,39,2.1666666666666665
A2592CC9,Master2,38,8617.19,73.65119658119659,114,3.0
A2C5CD6C,3ème,19,1199.45,39.98166666666667,55,2.8947368421052633
A2C5CD91,3ème,29,3900.4460000000004,97.51115,79,2.7241379310344827
A2C5CDF2,3ème,27,3003.833,43.5338115942029,81,3.0
A383AF10,4ème,5,113.49199999999999,18.915333333333333,14,2.8
A383AF11,4ème,5,233.376,33.33942857142857,15,3.0
A383AF33,4ème,8,352.991,44.123875,21,2.625
A3D77E79,5ème,13,803.6899999999999,50.230625,39,3.0
A3D77EB7,5ème,11,1118.674,50.84881818181818,33,3.0
A5446041,3ème,12,1465.2839999999999,86.19317647058824,25,2.0833333333333335
A57B86FB,5ème,30,4248.387,94.40859999999999,83,2.7666666666666666
A57B8841,5ème,30,2863.723,51.13791071428572,87,2.9
A58F3E2C,5ème,7,452.049,45.204899999999995,20,2.857142857142857
A5A6EC6D,Master2,39,4910.117,83.22232203389831,117,3.0
A5A6ED94,Master2,39,2159.793,39.26896363636364,114,2.923076923076923
A5F7A50,3ème,21,1272.9279999999999,45.46171428571428,59,2.8095238095238093
A61F46ED,3ème,25,2529.7209999999995,58.83072093023256,67,2.68
A61F46EE,3ème,34,3631.767,82.54015909090909,91,2.676470588235294
A72ECAB2,5ème,35,4356.055,67.01623076923077,98,2.8
A732F51,3ème,27,3756.737,96.32658974358975,63,2.3333333333333335
A77B2058,5ème,31,5103.071,68.96041891891892,87,2.806451612903226
A8B6AC17,5ème,26,2653.487,46.55240350877193,70,2.6923076923076925
A9E532CB,4ème,26,3152.5640000000003,85.20443243243243,84,2.7096774193548385
A9E5330F,4ème,31,3798.7219999999998,49.33405194805194,111,2.9210526315789473
AA774355,4ème,3,199.514,66.50466666666667,9,3.0
AA885B51,3ème,10,1671.927,87.99615789473685,29,2.9
AAFCD8F6,4ème,17,1734.4450000000002,66.70942307692307,40,2.3529411764705883
AB6EFA82,4ème,18,2271.184,61.38335135135136,45,2.5
AB6EFA88,4ème,18,2856.86,86.57151515151516,51,2.8333333333333335
AC27F30D,4ème,29,4045.617,112.37825000000001,85,2.9310344827586206
ACB33001,4ème,35,2692.549,44.875816666666665,132,3.0
ACB33065,4ème,32,4586.557000000001,84.93624074074074,101,2.6578947368421053
ACB330C4,4ème,28,2809.0429999999997,57.32740816326531,87,2.9
AD06EE68,3ème,12,1187.59,59.37949999999999,36,3.0
AD06EF0E,3ème,29,3493.687,72.78514583333333,87,3.0
AD1AA474,3ème,32,4366.902,111.97184615384616,82,2.5625
